Round,Position,Mean,Stddev
3,Behind 16000,-0.10171773902190692,109.39049485483298
3,All,0.36049219799598625,113.35087116753728
4,1,-3.65808416869372,93.81372060871334
4,2,0.8737932279775701,98.99035264494331
4,3,2.4106914149474887,103.02361982999044
4,4,1.760462176054516,108.29476783369734
4,Ahead <4000,-0.8406474915913065,97.7428296310675
4,Ahead 4000,-3.067252781978647,95.03081227561772
4,Ahead 8000,-4.316814595660749,93.65320193518771
4,Ahead 12000,-5.395018561685228,90.82447110673473
4,Ahead 16000,-6.35014519333639,89.07596758529316
4,Behind <4000,2.1119737026157503,107.9220112837802
4,Behind 4000,2.5687333359094247,110.11419469652341
4,Behind 8000,1.7887487164441838,109.78534482869343
4,Behind 12000,1.018094846954799,108.47102990003553
4,Behind 16000,-1.0383667454328327,101.9410470943212
4,All,0.35404403615496394,101.22539799013484
5,1,-3.153796110746786,79.81491295762392
5,2,1.349450641179478,85.01820150100235
5,3,2.017307222051685,88.99795819356132
5,4,1.1702233340490646,94.42924157389479
5,Ahead <4000,-0.7360511194769169,83.5754758832506
5,Ahead 4000,-2.3886358868031645,81.21915357725935
5,Ahead 8000,-3.2506231773081997,78.23502442608076
5,Ahead 12000,-4.88520076650294,76.86304423937672
5,Ahead 16000,-5.510127659574468,76.73721204422968
5,Behind <4000,2.1290706880301604,93.42389753319476
5,Behind 4000,1.7728397629198294,96.01498868810262
5,Behind 8000,1.579927125268138,96.26052893069806
5,Behind 12000,-0.18015844108541249,96.01985312189663
5,Behind 16000,-2.1878687235065333,89.4625420907361
5,All,0.3500383849687065,87.27305567816148
6,1,-2.657424156142878,63.528520075366536
6,2,1.4849144357160173,69.03138414108398
6,3,2.0231596268665015,72.0303490243249
6,4,0.4732573171778241,77.63575998250442
6,Ahead <4000,-0.7140065362363645,65.94926061167979
6,Ahead 4000,-2.1768313411931084,63.923680843024535
6,Ahead 8000,-3.6116709591551,62.144692993952404
6,Ahead 12000,-3.292497647625823,61.60416388764786
6,Ahead 16000,-4.0434524644278795,62.490174676880955
6,Behind <4000,2.3490025263524696,75.84779401788802
6,Behind 4000,1.7560829519127537,78.15012682868314
6,Behind 8000,0.24593587106154585,80.26308169617332
6,Behind 12000,-1.4584738522415577,79.15158592787735
6,Behind 16000,-4.199856660182246,75.66667226853507
6,All,0.33356697624352266,70.77937053331057
7,1,-1.7757065605550455,40.87263444555259
7,2,1.8652770992780763,47.874454436984834
7,3,1.6293094694944052,49.94067772178338
7,4,-0.5009210774919701,53.54084631870166
7,Ahead <4000,-0.9280265074084466,42.600158120750365
7,Ahead 4000,-1.8014554053153933,40.451228731975355
7,Ahead 8000,-2.1091022964509394,39.69784567135549
7,Ahead 12000,-2.316363435576047,39.262521625599334
7,Ahead 16000,-2.1269564058125585,40.937804998842545
7,Behind <4000,1.9579974404690286,52.478745963172166
7,Behind 4000,1.7801901317926914,54.68243888821196
7,Behind 8000,-0.3158251440189766,54.53236525406399
7,Behind 12000,-3.548012102553214,54.03931232676738
7,Behind 16000,-6.985753803596127,51.51112190431929
7,All,0.30545193978879326,48.31494477162747
