win,147,258,369,14,25,36,47,58,69,19,28,37,46,5,Zt0,Zt1,Zt2,ZZ,Z1,Z5,11,15,55,complex
10,0.6388526727509778,0.6344086021505376,0.6512226512226512,0.604801239029427,0.5563509920229086,0.5553031085407415,0.5470884255930984,0.5702344546381244,0.5856859831599802,0.43200895355344154,0.37794216543375925,0.3683848008265412,0.34326899584656734,0.3010371869466228,0.29838709677419356,0.5273109243697479,0.3742857142857143,0.459375,0.39373601789709173,0.38427947598253276,0.359375,0.34610630407911,0.38915618060695784,0.5485466914038343
11,0.5859598853868195,0.6254180602006689,0.5984147952443857,0.5679598102149037,0.525504666811374,0.5170435741864313,0.5039482342618995,0.5239130434782608,0.5542234332425068,0.4057877813504823,0.3458241489101151,0.32807215332581735,0.3046312644302594,0.27682227682227684,0.25578231292517006,0.488962472406181,0.37425149700598803,0.43205574912891986,0.36855670103092786,0.3596439169139466,0.3283582089552239,0.33426573426573425,0.3581256231306082,0.512982900569981
12,0.5360501567398119,0.5967741935483871,0.5707898658718331,0.5359723531259818,0.48428290766208254,0.4755372101493262,0.4666827619507484,0.4712169055137236,0.514426028238183,0.34988363072148954,0.3126410835214447,0.30093862815884476,0.2721547458389564,0.2526158445440957,0.2298050139275766,0.46532156368221944,0.35276967930029157,0.3710247349823322,0.33070866141732286,0.3208036292935839,0.35,0.2991735537190083,0.31642046670948404,0.46169220519653564
13,0.4964912280701754,0.5568942436412316,0.5251299826689775,0.47288006111535524,0.43320068220579877,0.43418851087562743,0.4245230854299143,0.4268463914630722,0.4679715302491103,0.3191865605658709,0.2779246530072703,0.26453342268386665,0.23329425556858147,0.20774065497849817,0.21592442645074225,0.4195906432748538,0.36163522012578614,0.32954545454545453,0.2693498452012384,0.2796549245147376,0.3617021276595745,0.22862453531598512,0.26926782273603084,0.42083040112596765
14,0.4197002141327623,0.4863123993558776,0.45109780439121755,0.39915174363807726,0.37186440677966104,0.37870967741935485,0.3640365177698076,0.36644518272425247,0.4072632944228275,0.2648305084745763,0.22576923076923078,0.2159468438538206,0.18706429124709528,0.16758951642672573,0.16644823066841416,0.3908256880733945,0.33093525179856115,0.2603305785123967,0.23595505617977527,0.22488038277511962,0.29411764705882354,0.19186046511627908,0.22652519893899203,0.3640699523052464
15,0.34366925064599485,0.3695652173913043,0.3474178403755869,0.307824100513992,0.29931146213041715,0.29737261146496813,0.28356137219908784,0.2771565495207668,0.3406183368869936,0.22908622908622908,0.16190900981266726,0.16062176165803108,0.14482306684141547,0.12942155638784852,0.12484848484848485,0.32167832167832167,0.26548672566371684,0.1834862385321101,0.18141592920353983,0.17175239755884916,0.1935483870967742,0.16424116424116425,0.175284837861525,0.26758147512864494
16,0.23030303030303031,0.22037914691943128,0.2118380062305296,0.18717759764185704,0.20191339375629405,0.18937924345295828,0.18632643235435725,0.18681318681318682,0.2176271186440678,0.14171974522292993,0.1036842105263158,0.10384215991692627,0.08745059288537549,0.08048103607770583,0.07568238213399504,0.19767441860465115,0.20224719101123595,0.15458937198067632,0.0966183574879227,0.10756608933454877,0.12,0.0861344537815126,0.10680209295167743,0.16026241799437677
17,0.1262135922330097,0.10294117647058823,0.1407035175879397,0.10456062291434928,0.0951310861423221,0.08913443830570902,0.08730447435431066,0.08053691275167785,0.11455108359133127,0.06493506493506493,0.04218181818181818,0.046805349182763745,0.046200200870438565,0.04238921001926782,0.03582554517133956,0.11894273127753303,0.08695652173913043,0.07692307692307693,0.06338028169014084,0.03026481715006305,0.0,0.03291139240506329,0.04923939151321057,0.08256880733944955
18,0.06521739130434782,0.109375,0.05454545454545454,0.05394190871369295,0.0646900269541779,0.041726618705035974,0.05439330543933055,0.04610951008645533,0.07377049180327869,0.030534351145038167,0.026252983293556086,0.023166023166023165,0.022304832713754646,0.028639618138424822,0.017467248908296942,0.03389830508474576,0.0,0.022727272727272728,0.029411764705882353,0.020080321285140562,0.0,0.013513513513513514,0.02423469387755102,0.05063291139240506
tsumo,147,258,369,14,25,36,47,58,69,19,28,37,46,5,Zt0,Zt1,Zt2,ZZ,Z1,Z5,11,15,55,complex
0,,,,0.25,0.3333333333333333,0.5,0.5714285714285714,0.0,1.0,0.15384615384615385,0.22727272727272727,0.38461538461538464,0.52,0.4583333333333333,0.25,,1.0,,0.0,0.16666666666666666,,0.6666666666666666,0.18181818181818182,
1,0.0,0.2222222222222222,0.6,0.18421052631578946,0.30303030303030304,0.5238095238095238,0.3835616438356164,0.35714285714285715,0.1875,0.2033898305084746,0.3673469387755102,0.3817427385892116,0.45121951219512196,0.3706896551724138,0.17391304347826086,0.25,1.0,0.0,0.16666666666666666,0.22580645161290322,0.0,0.3888888888888889,0.36904761904761907,0.3333333333333333
