Riichi counts,sanmenchan+,ryanmen,single,honor,Win,sanmenchan+,ryanmen,single,honor,Draw,sanmenchan+,ryanmen,single,honor,Dealin,sanmenchan+,ryanmen,single,honor,,,,,,,,,,,,,
12,1100,8491,4620,946,12,551,3561,1412,393,12,190,1909,1397,249,12,102,879,598,103,,,,,,,,,,,,,
13,708,5711,3133,665,13,328,2194,883,219,13,148,1591,1057,206,13,66,553,357,92,,,,,,,,,,,,,
14,454,3722,1993,418,14,176,1251,452,129,14,163,1218,811,138,14,35,343,218,44,,,,,,,,,,,,,
15,265,2104,1233,276,15,105,605,251,75,15,87,863,554,117,15,14,148,129,28,,,,,,,,,,,,,
16,140,1060,657,186,16,45,260,119,38,16,59,519,366,105,16,10,57,45,18,,,,,,,,,,,,,
17,50,414,242,82,17,17,76,35,16,17,22,257,148,54,17,1,18,10,3,,,,,,,,,,,,,
18,15,56,42,6,18,4,9,1,1,18,8,38,31,4,18,1,2,3,0,,,,,,,,,,,,,
Total,20101,159102,95222,22043,Total,13232,87607,40306,12519,Total,2375,26533,21615,3572,Total,1432,14749,11770,2168,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oikake Riichi counts,sanmenchan+,ryanmen,single,honor,Win,sanmenchan+,ryanmen,single,honor,Draw,sanmenchan+,ryanmen,single,honor,Dealin,sanmenchan+,ryanmen,single,honor,,,,,,,,,,,,,
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,#DIV/0!,,,,,,,,,,,
2,1,13,10,3,2,1,8,3,0,2,0,0,0,1,2,0,3,3,0,,0.444444444,,,,,,,,,,,
3,9,75,39,20,3,7,36,20,10,3,0,1,1,1,3,2,18,7,4,,0.51048951,,,,,,,,,,,
4,31,271,150,42,4,19,144,67,20,4,1,6,7,0,4,4,40,34,4,,0.506072874,,,,,,,,,,,
5,90,750,366,114,5,53,399,147,36,5,2,25,19,4,5,11,114,85,24,,0.481060606,,,,,,,,,,,
6,158,1453,780,186,6,98,702,270,86,6,1,47,50,7,6,28,256,159,38,,0.448583624,,,,,,,,,,,
7,332,2531,1201,259,7,179,1267,397,113,7,11,90,95,7,7,46,379,255,52,,0.452463567,,,,,,,,,,,
8,421,3465,1525,353,8,254,1671,484,152,8,6,169,152,17,8,41,552,321,78,,0.444309507,,,,,,,,,,,
9,511,4219,1816,353,9,272,1926,576,141,9,22,234,187,29,9,68,683,366,54,,0.422525004,,,,,,,,,,,
10,571,4409,1934,347,10,296,2030,603,139,10,30,325,248,42,10,89,665,404,59,,0.422531332,,,,,,,,,,,
11,521,4186,1846,348,11,270,1803,539,137,11,46,407,289,39,11,70,613,353,68,,0.398348065,,,,,,,,,,,
12,469,3509,1588,289,12,221,1401,469,105,12,50,500,295,38,12,64,475,281,55,,0.375064048,,,,,,,,,,,
13,383,2744,1284,211,13,177,1069,324,65,13,58,488,333,52,13,36,362,190,21,,0.353742968,,,,,,,,,,,
14,272,2026,912,139,14,121,715,226,52,14,59,490,293,32,14,20,227,130,23,,0.332636608,,,,,,,,,,,
15,174,1274,641,90,15,70,384,126,23,15,48,439,270,30,15,16,119,78,13,,0.276732446,,,,,,,,,,,
16,96,680,317,49,16,32,147,44,9,16,45,341,163,29,16,5,49,31,2,,0.203152364,,,,,,,,,,,
