turndealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
1,3727.171216,5112.856013,5355.129741,5494.330822,5580.38633,5400.883652,5286.134106,5009.622721,3781.87251,3841.081517,,
2,5963.235294,7203.378378,6920.699708,7140.151515,7628.400598,7129.949239,7023.94822,6625.316456,5603.030303,6023.178808,,
3,8425,9432.412523,9587.456446,9444.357977,9868.023256,9669.285714,9304.334365,9218.75,9616.666667,9800,,
4,14200,11738.09524,12681.81818,13207.54717,11802.98507,14095.2381,13605.6338,11774.72527,13777.77778,12588.23529,,
5,12000,13800,13750,14333.33333,14434.78261,12000,14000,19200,12000,20000,,
tanyao doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,7609,8157,7535,7683,7933,7323,7209,7393,7257,18553,,
1,1612,2528,2505,2787,2019,2716,2416,2359,1506,3717,,
2,68,148,343,528,669,394,309,158,66,151,,
3,8,543,287,257,172,280,323,560,12,25,,
4,10,84,44,53,134,42,71,91,9,34,,
5,1,10,8,6,23,5,10,10,1,3,,
yakuhai doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,3699.785039,3871.510757,4051.497496,4135.12449,4165.040501,4040.861527,4023.35784,3878.482233,3719.338687,3791.685823,,
1,4690.257754,4876.438923,4778.500986,4985.083371,4924.766355,4992.48366,4899.808869,4802.29983,4784.964413,5235.109045,,
2,6676.923077,6585.333333,6637.313433,6348.319328,7036.027714,6727.312775,6561.256545,6371.186441,6595.945946,6700,,
3,10003.92562,10237.87879,10007.89474,10438.76404,10407.63359,10371.52318,10112.44019,9772.672673,9796.892139,9614.806831,,
4,13121.95122,12656.25,13884.61538,13343.75,11257.14286,13949.36709,14370.37037,13327.27273,12873.95833,12100.49423,,
5,15714.28571,14000,16333.33333,19000,16000,14750,13000,13600,15230.76923,15736.84211,,
yakuhai doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,20934,20685,20768,21327,21728,21311,20811,20741,21170,41327,,
1,2289,2415,2535,2219,1712,2142,2616,2348,2248,2797,,
2,65,75,201,238,433,227,191,59,74,66,,
3,484,264,190,178,131,151,209,333,547,6031,,
4,82,64,52,64,105,79,54,66,96,607,,
5,7,10,6,8,18,8,4,5,13,38,,
dora discarded,Tsumo,Ron,Tsumo,Ron,Tsumo,Ron,Tanyao,Yakuhai,Honitsu,Chinitsu,Other,
0,9536,7681,7171,5390,5302,4618,3739,3393,7004,10555,3548,
1,9152,7318,6808,5115,4580,3906,2761,2839,6650,10096,3061,
2,9053,7190,6528,4848,4377,3564,2484,2634,6610,9833,2917,
3,8888,7499,6485,4782,4134,3635,2424,2694,6675,9815,2617,
4,8950,5150,5489,4292,3758,3214,2172,2495,6334,11429,2292,
,,,,,,,,,,,,
,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
dealin tile,,,,,,,,,,,,
19,,7104,,4825,,3821,,2795,6323,10043,3203,
28,,7270,,5037,,4169,2926,2671,6128,9803,2815,
34567,,7662,,5363,,4337,3268,2956,6228,10110,3038,
honor,,8193,,5859,,4829,,3481,7182,,3530,
dora,,9773,,7556,,6950,5964,5845,9923,14085,6063,
dorasoba,,8104,,5843,,5174,4038,3353,7754,12733,3389,
