Turn,0,1,2,3,4+,riichi_in_3,,,,,,,
"simple,terminal,",0.101,0.338,0.183,0.259,0.185,4017,,,,,,,
"simple,simple,",0.115,0.324,0.17,0.23,0.167,11348,,,,,,,
honorted,dama,1shanten,riichi_in_3,riichi_in_6,count,,,,,,,,
0,0,0.019,0.013,0.094,224313,,,,,,,,
1,0.001,0.041,0.022,0.125,182957,,,,,,,,
2,0.004,0.068,0.031,0.144,144011,,,,,,,,
3,0.01,0.108,0.041,0.153,105131,,,,,,,,
4,0.02,0.161,0.051,0.157,75427,,,,,,,,
5,0.036,0.219,0.062,0.153,55744,,,,,,,,
6,0.058,0.275,0.071,0.149,44648,,,,,,,,
7,0.078,0.317,0.077,0.134,37686,,,,,,,,
8,0.097,0.345,0.082,0.118,32638,,,,,,,,
9,0.109,0.364,0.077,0.093,28223,,,,,,,,
10,0.114,0.373,0.076,0.076,24060,,,,,,,,
11,0.108,0.374,0.047,0.047,19790,,,,,,,,
12,0.111,0.365,0.024,0.024,16296,,,,,,,,
