1st,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
28,0.7272727272727273,0.227509778357236,0.11685931773329575,0.09953599145895783,0.09077190070172791,0.08694177436416319,0.0869273410785209,0.08534463026409966,0.08527493654778454,0.08723463394736178,0.0903779345194231,0.0936670951837568,0.09817455927270978,0.10206652446752604,0.10695181717220088,0.11405333837715151,0.1171491965787496,0.10429834120353554,0.0680970625798212
37,0.0,0.17687074829931973,0.09537712895377129,0.08435967302452316,0.07714981921081591,0.07742371572035535,0.07657928562163183,0.0766960133175445,0.07563390623106479,0.07643417524578767,0.07927066689939447,0.0805409444550263,0.08555079896579494,0.08910275995518892,0.0937214053823688,0.10102809287209774,0.10248690075858294,0.09328330017377288,0.062458573395197066
46,0.5,0.2,0.08803301237964237,0.07218117960518348,0.07250552194372419,0.0712622263623661,0.07139061384996129,0.07058966243562456,0.07123023279103431,0.0696367179984776,0.07269339868074322,0.07468023282128342,0.07569786874084466,0.07974437343706585,0.08225317456830265,0.08665130678954569,0.09396874312128549,0.08429599866063954,0.05346360742123175
5,,0.1509433962264151,0.0647887323943662,0.07231833910034602,0.06340436727177058,0.06614886731391585,0.06558086470750227,0.06794132467387044,0.06423832030539901,0.06604045054674011,0.06457071788284706,0.06779624293112041,0.06939389527830349,0.07167033338974446,0.07847760188615696,0.08045696629670285,0.08478875987901259,0.0790440069833243,0.053174045443897866
Honor,60.62341772151899,0.36979720583969833,0.19306457613476927,0.13343004033194197,0.10708797678760791,0.0948624753124689,0.09023031883123885,0.09030095028582609,0.09309818681959683,0.09877468090057265,0.10463425537036218,0.11029509415920742,0.11713652820565323,0.12241968285193998,0.12898560441349718,0.13473198624366395,0.138203065058724,0.12305560269245998,0.0717595273948801
4th,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,inf,0.16526138279932545,0.08409807857757384,0.06773073534746334,0.061726055947273685,0.05878658027655162,0.05926325427385268,0.059145213286659525,0.0623743570547214,0.06518817810405939,0.06773109085430164,0.07171246166364148,0.07715408976739106,0.08178025236959935,0.08839103142216785,0.09848106047979377,0.109023496083986,0.10630887501353449,0.0725199373928598
28,inf,0.0,0.09444444444444444,0.06072874493927125,0.06771591059383679,0.05350325623175387,0.054114339841720906,0.052591570145432,0.05437455681115252,0.05649587705190064,0.057783032811114396,0.05976495876264573,0.06575181624715638,0.06889316778434366,0.0753213290589328,0.07785753727222529,0.08785365660092853,0.080020058743463,0.05467066429307599
37,,,0.07142857142857142,0.055776892430278883,0.06398537477148081,0.059880239520958084,0.049353863073962057,0.05312664609827677,0.05161290322580645,0.05097554772372198,0.05349879761303922,0.05412487097371834,0.0557789955256146,0.05972465581977472,0.0646705020920502,0.07041583936910988,0.07564291959359642,0.06604226705091258,0.04549172591707041
46,,0.0,0.08163265306122448,0.05263157894736842,0.04932735426008968,0.05636070853462158,0.05275735294117647,0.05027760641579272,0.046485260770975055,0.04497210840697043,0.05015788195287831,0.05091744766418902,0.05362274740507827,0.056671279576062376,0.05930349640637478,0.06100408639813193,0.06789190027528982,0.060808756460930376,0.04207221350078493
5,,,0.1111111111111111,0.05,0.06293706293706294,0.0460772104607721,0.04417448923246825,0.049969897652016856,0.040297121634168986,0.04554131442596128,0.04599826011309265,0.04230917501927525,0.052882453458044786,0.05202056008507622,0.05475113122171946,0.05568402552955323,0.06319024296552386,0.05403389107961207,0.03819840364880274
Honor,inf,0.20292865302731333,0.0890256339738962,0.06352999011095169,0.05371834104784019,0.050471596445799044,0.0497238893001113,0.051632317009740365,0.05515382388818823,0.06017068707834565,0.06666878192721389,0.0723074666054763,0.08131898646303366,0.09102638200489226,0.10101583552850697,0.1164532448027824,0.13598453895741727,0.14060442103014986,0.0954162400567063
1st d,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
