closed,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
14,2214,54,193
15,1712,43,161
16,1352,49,115
17,900,31,83
18,318,3,26
1,Noten,Wait tedashi,Not tedashi
0,1976,2,5
1,3486,8,51
2,4863,23,131
3,5667,51,287
4,5609,113,484
5,5228,153,619
6,4543,204,756
7,3746,253,796
8,2928,244,779
9,2299,233,678
10,1724,202,625
11,1250,192,507
12,1008,159,419
13,833,143,323
14,660,114,295
15,560,96,226
16,479,93,179
17,344,75,140
18,143,15,42
2,Noten,Wait tedashi,Not tedashi
0,67,1,3
1,236,1,23
2,489,15,75
3,822,33,160
4,1056,83,323
5,1115,123,429
6,1087,169,558
7,939,192,592
8,762,203,551
9,576,173,489
10,469,138,377
11,347,128,307
12,248,114,224
13,225,80,192
14,182,54,145
15,169,47,111
16,160,59,82
17,137,34,71
18,67,22,34
3,Noten,Wait tedashi,Not tedashi
0,1,0,2
1,7,0,3
2,18,3,16
3,19,14,33
4,34,20,69
5,44,33,105
6,45,37,118
7,39,51,116
8,36,51,113
9,46,41,93
10,32,40,81
11,17,30,65
12,17,22,65
13,20,27,38
14,23,20,31
15,15,18,30
16,10,17,22
17,10,15,22
18,8,11,15
dsoba ted,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,0.06749704265534757,0.06855965867294395,0.06972645234066553,0.060918909024345595,0.06556473829201102,0.06755942891557729,0.06805095096841737,0.06787231724588735,0.06643806258036862,0.12804878048780488,0.09518599562363239,0.10648148148148148,0.04197530864197531,0.10256410256410256,0.06097560975609756,0.01694915254237288,0.0125,0.0546448087431694,0.09448818897637795,0.08860759493670886,0.09848484848484848,0.06739130434782609,0.11055276381909548,0.10266457680250783,0.11187214611872145
1,0.08802871858904324,0.10137364745606631,0.10418680746634937,0.09751520156144433,0.09789952996474735,0.1001643209259127,0.10173787110789283,0.09102602905569007,0.08801541425818883,0.1047008547008547,0.15201900237529692,0.1360759493670886,0.0962962962962963,0.14950166112956811,0.13503649635036497,0.08445945945945946,0.12033195020746888,0.1382636655948553,0.09821428571428571,0.10840108401084012,0.11016949152542373,0.11342155009451796,0.1404109589041096,0.1384297520661157,0.15324675324675324
2,0.08483393357342937,0.11423841059602649,0.13714833759590792,0.1237572848817278,0.1289245156980628,0.1341824644549763,0.10556971241354204,0.09227330779054917,0.11078928312816799,0.15476190476190477,0.1232876712328767,0.2,0.2,0.2318840579710145,0.08333333333333333,0.18181818181818182,0.10416666666666667,0.18840579710144928,0.28205128205128205,0.16494845360824742,0.17142857142857143,0.14285714285714285,0.16666666666666666,0.10526315789473684,0.16666666666666666
dsoba tsu,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,0.06748826291079812,0.06755919176893517,0.06761982889956639,0.06567640559783942,0.06700583198908053,0.06712378202814868,0.07192548048579177,0.07030378177309361,0.07123608670181605,0.03787878787878788,0.07818930041152264,0.06493506493506493,0.06542056074766354,0.018518518518518517,0.08602150537634409,0.04285714285714286,0.0,0.1,0.07547169811320754,0.03225806451612903,0.10204081632653061,0.022900763358778626,0.12244897959183673,0.09850746268656717,0.05511811023622047
1,0.08892003425990812,0.09338118022328548,0.09499842717835798,0.09433040078201368,0.10395533537784069,0.09990249756243906,0.09898129846434545,0.0889922480620155,0.09410210583572927,0.10746268656716418,0.11209439528023599,0.11666666666666667,0.0661764705882353,0.09051724137931035,0.07575757575757576,0.11458333333333333,0.10227272727272728,0.06572769953051644,0.10135135135135136,0.09433962264150944,0.14204545454545456,0.09495548961424333,0.06965174129353234,0.12108559498956159,0.10408921933085502
2,0.12169454937938479,0.12645780928424422,0.13655268022181147,0.1381202290076336,0.13908754623921085,0.13845813026140896,0.13635220125786163,0.13231552162849872,0.1181563534504711,0.1308411214953271,0.08695652173913043,0.13829787234042554,0.11494252873563218,0.10666666666666667,0.10294117647058823,0.1411764705882353,0.14035087719298245,0.07792207792207792,0.15873015873015872,0.21978021978021978,0.15555555555555556,0.13333333333333333,0.16883116883116883,0.13245033112582782,0.08108108108108109
dsoba ted,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,1940,1864,1978,1664,1785,1907,1950,1869,1860,63,87,23,17,20,10,3,2,10,12,21,13,31,22,131,49
1,1128,1321,1401,1299,1333,1402,1405,1203,1142,49,64,43,39,45,37,25,29,43,22,40,26,60,41,67,59
2,212,345,429,361,386,453,290,289,306,13,9,19,14,16,5,10,5,13,11,16,6,12,8,12,8
dsoba ted,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,28742,27188,28368,27315,27225,28227,28655,27537,27996,492,914,216,405,195,164,177,160,183,127,237,132,460,199,1276,438
1,12814,13031,13447,13321,13616,13997,13810,13216,12975,468,421,316,405,301,274,296,241,311,224,369,236,529,292,484,385
2,2499,3020,3128,2917,2994,3376,2747,3132,2762,84,73,95,70,69,60,55,48,69,39,97,35,84,48,114,48
dsoba tsu,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,575,545,577,535,540,558,610,567,608,5,19,5,7,1,8,3,0,5,4,3,5,3,6,33,7
1,1142,1171,1208,1158,1322,1332,1302,1148,1211,36,38,28,18,21,15,22,18,14,15,30,25,32,14,58,28
2,451,553,591,579,564,625,542,572,464,14,10,13,10,8,7,12,8,6,10,20,7,14,13,20,6
dsoba tsu,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,8520,8067,8533,8146,8059,8313,8481,8065,8535,132,243,77,107,54,93,70,54,50,53,93,49,131,49,335,127
1,12843,12540,12716,12276,12717,13333,13154,12900,12869,335,339,240,272,232,198,192,176,213,148,318,176,337,201,479,269
2,3706,4373,4328,4192,4055,4514,3975,4323,3927,107,115,94,87,75,68,85,57,77,63,91,45,105,77,151,74
