honitsu,1,2,3,
8,0.50693445,0.523501149,0.497326203,0.142241379
9,0.497722335,0.539767442,0.456668715,0.083333333
10,0.48040504,0.514079049,0.459549072,0.119266055
11,0.456590193,0.523117961,0.422345483,0.161290323
12,0.435086621,0.486987638,0.434173669,0.190789474
13,0.420315911,0.472512178,0.415289256,0.290076336
14,0.408598776,0.460394199,0.426919033,0.234848485
15,0.370983077,0.444533762,0.433747412,0.247863248
16,0.342603987,0.421933086,0.402860548,0.245614035
17,0.295498269,0.371681416,0.405913978,0.318965517
18,0.244040863,0.335832084,0.407216495,0.361111111
ryan,0,1,2,3
0,20,56,52,3
1,1341,570,127,11
2,3077,1301,325,27
3,5474,2157,631,53
4,8405,3239,1012,88
5,11678,4110,1464,135
6,14227,4770,1865,207
7,15470,4852,1919,232
8,15286,4787,1870,232
9,14269,4300,1627,240
10,12937,3871,1508,218
11,11115,3374,1262,186
12,9582,3074,1071,152
13,7787,2874,968,131
14,6373,2689,951,132
15,5259,2488,966,117
16,4063,2152,839,114
17,2599,1695,744,116
18,881,667,388,72
tsumogiri3,0,1,2,3
0,0.000125063,0.006024096,,
1,0.000338639,0.02,0,
2,0.001453488,0.065217391,0,
3,0.002422661,0.048101266,0.166666667,0.666666667
4,0.007135875,0.100737101,0.331896552,0.75
5,0.013353506,0.163056804,0.421383648,0.777777778
6,0.024366321,0.225344783,0.491891892,0.858895706
7,0.03778184,0.312765527,0.562472011,0.867069486
8,0.057195659,0.383646714,0.61929427,0.893772894
9,0.077303419,0.455319149,0.675995694,0.906815021
10,0.108021527,0.529421248,0.725399903,0.911515152
11,0.144009681,0.589814178,0.759941804,0.935050392
12,0.191567568,0.640475278,0.792638673,0.94972067
13,0.237379162,0.697492163,0.823476969,0.952669903
14,0.301218162,0.742321707,0.856702091,0.953185956
15,0.381882202,0.765058341,0.876788553,0.95942029
16,0.474053296,0.81139338,0.886548588,0.954314721
17,0.575928918,0.854258986,0.900730816,0.957403651
18,0.628930818,0.895652174,0.916093535,0.983935743
tsumogiri6,0,1,2,3
0,0.000125063,0.006024096,,
1,0.000339098,0.020408163,0,
2,0.00105042,0,0,
3,0.00220022,0,0,
4,0.001642036,0,,
5,0.00203252,0.1,0,
6,0.002781641,0.176470588,0.222222222,
7,0.019266055,0.303448276,0.644444444,0.888888889
8,0.033457249,0.375404531,0.66,0.882352941
9,0.053431373,0.465517241,0.687096774,0.880597015
10,0.085134539,0.569352708,0.739583333,0.890510949
11,0.125281658,0.625773196,0.76744186,0.916666667
12,0.16064257,0.689721422,0.819138756,0.942176871
13,0.216147489,0.757628596,0.844225604,0.951070336
14,0.286300246,0.797125951,0.890809827,0.956521739
15,0.37870472,0.832110092,0.900900901,0.961643836
16,0.453846154,0.870803662,0.925490196,0.979411765
17,0.577836412,0.904938272,0.939213349,0.983606557
18,0.733333333,0.949458484,0.958579882,1
