honitsu,1,2,3,
9,,0.323861307,0.583551159,0.899740827
10,,0.375872175,0.627107067,0.909803382
11,,0.420765421,0.66406283,0.91615562
12,,0.457797056,0.690418825,0.919249547
13,,0.487888068,0.710598745,0.916382037
14,,0.512059274,0.722964586,0.918151285
15,,0.533961474,0.728326241,0.912091671
16,,0.552205946,0.734121742,0.905597913
17,,0.568676,0.73368405,0.893503094
18,,0.562702265,0.72617265,0.88571908
honitsu kan,1,2,3,
0,,0,,
1,0,0.1875,1,
2,0,0.044117647,0.142857143,
3,0.008,0.111111111,0.535714286,
4,0.080357143,0.183431953,0.421875,
5,0.106707317,0.217314488,0.549019608,
6,0.13253012,0.269729093,0.587548638,
7,0.163636364,0.329379562,0.64075067,
8,0.238289206,0.400609292,0.678207739,
9,0.282157676,0.442809365,0.714527027,
10,0.334080717,0.49328215,0.75591716,
11,0.382978723,0.54229798,0.787798408,
12,0.498666667,0.577852349,0.847102343,
13,0.554572271,0.601713062,0.872892348,
14,0.556634304,0.661094225,0.878709677,
15,0.603636364,0.712059065,0.890392422,
16,0.591439689,0.737435009,0.907949791,
17,0.633802817,0.749488753,0.902555911,
18,0.56097561,0.746240602,0.904176904,
yakuhai kan,1,2,3,
0,,0.15,0,
1,0.024096386,0.189189189,0.8,
2,0.044392523,0.239344262,0.5,
3,0.081671415,0.306740028,0.75,
4,0.128152342,0.321167883,0.845588235,
5,0.164607558,0.406883365,0.822629969,
6,0.233252132,0.463018152,0.848484848,
7,0.305673158,0.540136901,0.861202186,
8,0.378184941,0.597851811,0.892601432,
9,0.45324635,0.646316508,0.907307172,
10,0.502017485,0.688818565,0.909147095,
11,0.559746079,0.726934524,0.915009042,
12,0.618584071,0.759386354,0.924223602,
13,0.656282999,0.777199729,0.932717678,
14,0.687420584,0.798323597,0.930659415,
15,0.71702454,0.804415511,0.937591777,
16,0.72080292,0.820593809,0.944489139,
17,0.72004745,0.817288802,0.943235572,
18,0.688888889,0.798231511,0.939528024,
other kan,1,2,3,
0,,0,,
1,,0,0,
2,0.076923077,0.181818182,0,
3,0.037037037,0.26984127,0.166666667,
4,0.130434783,0.304054054,0.529411765,
5,0.182352941,0.333333333,0.638888889,
6,0.248091603,0.402173913,0.738461538,
7,0.287356322,0.459279039,0.783783784,
8,0.32832618,0.534749035,0.843575419,
9,0.403474903,0.583202512,0.842975207,
10,0.469565217,0.611716621,0.851851852,
11,0.546689304,0.655151515,0.862464183,
12,0.592391304,0.693161894,0.884408602,
13,0.642994242,0.732283465,0.917098446,
14,0.671370968,0.759754738,0.920481928,
15,0.695652174,0.75812065,0.933962264,
16,0.720183486,0.775757576,0.937799043,
17,0.70855615,0.764976959,0.928,
18,0.680232558,0.763661202,0.904545455,
calltype,ryanmen,kanchan,pon,dora pon
0,0,0,0.005957447,0
1,0.003429691,0.007294833,0.00741891,0.004149378
2,0.015111828,0.012834225,0.016343207,0.005208333
3,0.036476109,0.029732656,0.033934004,0.012884044
4,0.065817006,0.054526255,0.060662169,0.027846535
5,0.108001359,0.088490038,0.097857884,0.051203501
6,0.15934995,0.133227149,0.143214216,0.08040201
7,0.216681523,0.181158109,0.198310518,0.112063868
8,0.276144458,0.234753898,0.25644481,0.160792952
9,0.336772388,0.288423925,0.313553545,0.214164306
10,0.388755847,0.336885865,0.368772944,0.27255814
11,0.429202483,0.379639817,0.421508446,0.31460272
12,0.467631122,0.408057711,0.46147093,0.364185111
13,0.491021405,0.438973453,0.500388264,0.428981349
14,0.515043851,0.463941732,0.528464588,0.464634848
15,0.537658464,0.487542242,0.5507803,0.522237197
16,0.555911567,0.503439263,0.570814713,0.550970874
17,0.579683218,0.516656926,0.582142857,0.598626104
18,0.575344828,0.517823931,0.571794216,0.630434783
calltype 1s,ryanmen,kanchan,pon,dora pon
0,0.117647059,0.035714286,0.100425532,0.029411765
1,0.106320431,0.094832827,0.107487923,0.058091286
2,0.178118074,0.165953654,0.174353736,0.079861111
3,0.260132253,0.246189723,0.259115376,0.149653122
4,0.345634392,0.324709609,0.341377687,0.21720297
5,0.409114075,0.390877655,0.407190714,0.284901532
6,0.457665331,0.440887838,0.459968756,0.351088777
7,0.483280275,0.475299706,0.48771849,0.398876404
8,0.489542217,0.488400061,0.496648524,0.445759912
9,0.478545979,0.486649989,0.490392587,0.452691218
10,0.462970838,0.476190476,0.475071269,0.466046512
11,0.446466094,0.460015056,0.450321199,0.477093772
12,0.425682508,0.448924731,0.42952621,0.472434608
13,0.409107887,0.426964938,0.400790033,0.43711143
14,0.391812304,0.4049068,0.37663983,0.408280621
15,0.367707113,0.37888768,0.354319607,0.373315364
16,0.342157962,0.352180493,0.327031053,0.344660194
17,0.299131404,0.320864991,0.299929972,0.280667321
18,0.268706897,0.283632982,0.280266189,0.252964427
calltype,ryanmen,kanchan,pon,dora pon
0,17,28,1175,34
1,2041,1645,5796,241
2,4963,5610,12727,576
3,9376,12007,21365,1009
4,15771,20834,31865,1616
5,23546,30365,42388,2285
6,31936,38926,51210,2985
7,39265,44210,56467,3382
8,44082,45733,57139,3632
9,45749,43970,54281,3530
10,44681,39690,48759,3225
11,41880,34538,42030,2794
12,38571,29388,35311,2485
13,34805,24899,29619,2091
14,31242,20869,24469,1739
15,28161,17459,20569,1484
16,24968,14538,17454,1236
17,21529,11977,14280,1019
18,11600,6452,7814,506
justcalled,0,1,2,3
0,,0.004396733,0.072109654,0.45
1,,0.014081715,0.104606113,0.575070822
2,,0.034049837,0.165591307,0.630195081
3,,0.061489296,0.241342582,0.717342342
4,,0.100467059,0.322345165,0.771410174
5,,0.148071608,0.39679952,0.823964269
6,,0.201310023,0.474005356,0.865527586
7,,0.263491259,0.539259007,0.887751134
8,,0.322822112,0.593782736,0.906095071
9,,0.379531118,0.639028644,0.921625793
10,,0.422187606,0.686468795,0.930953898
11,,0.448342328,0.713591314,0.934739242
12,,0.478370242,0.732100396,0.92172524
13,,0.514282794,0.734681946,0.927845528
14,,0.566546531,0.741344196,0.908965517
15,,0.610178293,0.752668681,0.899218071
16,,0.619975787,0.773824031,0.905503634
17,,0.639330367,0.807359307,0.908387097
18,,0.584017924,0.807149577,0.924324324
justcalled 1s,0,1,2,3
0,,0.097857643,0.449940405,0.4875
1,,0.180218507,0.487989669,0.373937677
